Grupa,Asistent,"Notă finală",Total,"Examen grilă final (maxim 10)","Total lucrări de curs (maxim 10)","Lucrare de curs 1 (maxim 5)","Lucrare de curs 2 (maxim 5)","Lucrare de curs 3 (maxim 5)","Total teme (maxim 10)",Tema 0 (maxim 10),"Tema 1 (maxim 10)","Tema 2 (maxim 10)","Tema 3 (maxim 10)","Tema 4 (maxim 10)","Midterm practic (maxim 10)","Final practic (maxim 10)","Final practic refacere (maxim 10)",Total laborator,Lab00,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Observații
311CA,,9.0,9.4425,7.17,9.166666667,2.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,7.5,8.1,,10,x,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,9.0,8.5,5.46,10,4.0,5.0,4.0,6.8,10.0,10.0,,10.0,,5.6,9.5,,10,x,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,a,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
311CA,,10.0,10.875,10.25,9.166666667,4.0,3.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,x,10.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,CC,9.0,9.205,6.62,7.5,2.0,3.0,4.0,10,10.0,10.0,11.0,10.0,,9.0,8.1,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,
311CA,CC,6.0,6.415,3.08,2.5,0.0,2.0,1.0,9.04,10.0,10.0,8.8,8.2,,3.1,6.8,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,
311CA,CC,10.0,9.7225,7.37,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,6.3,9.0,,10,X,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,11.0,11.0,
311CA,,6.0,5.6825,3.71,5,1.0,2.0,3.0,4.04,,3.0,,10.0,,4.7,2.5,3.9,10,x,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,7.0,6.5195,3.63,5.833333333,2.0,3.0,2.0,8.688,10.0,10.0,8.8,7.1,,5.4,4.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
311CA,CC,9.0,9.314,8.04,7.5,3.0,4.0,2.0,9.616,10.0,10.0,8.8,10.0,,7.0,8.3,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,
